invoice_id,invoice_date,vendor_id,vendor_name,currency,line_item_number,item_code,description,quantity,unit_price,line_total
INV00001,2024-01-13,V004,Industrial Solutions GmbH,USD,1,ITM0032,Plastic Housings - ABS,18,370.87,6675.66
INV00001,2024-01-13,V004,Industrial Solutions GmbH,USD,2,ITM0087,Seals - Mechanical,12,299.34,3592.08
INV00001,2024-01-13,V004,Industrial Solutions GmbH,USD,3,ITM0005,Industrial Bearings - Heavy Duty,12,117.13,1405.56
INV00001,2024-01-13,V004,Industrial Solutions GmbH,USD,4,ITM0065,Gearboxes - Planetary,4,285.01,1140.04
INV00001,2024-01-13,V004,Industrial Solutions GmbH,USD,5,ITM0092,Seals - Mechanical,54,118.02,6373.08
INV00002,2024-05-22,V019,Iota Supplies,CAD,1,ITM0098,Copper Wire - 12 AWG,90,217.08,19537.2
INV00002,2024-05-22,V019,Iota Supplies,CAD,2,ITM0036,Rubber Gaskets - High Temp,28,479.03,13412.84
INV00002,2024-05-22,V019,Iota Supplies,CAD,3,ITM0044,Hydraulic Fittings - Standard,12,196.16,2353.92
INV00003,2024-06-25,V012,Sigma Steel Works,GBP,1,ITM0034,Steel Sheets - Grade A,94,235.12,22101.28
INV00003,2024-06-25,V012,Sigma Steel Works,GBP,2,ITM0016,Lubricants - Synthetic,11,280.5,3085.5
INV00003,2024-06-25,V012,Sigma Steel Works,GBP,3,ITM0081,Gearboxes - Planetary,47,292.9,13766.3
INV00003,2024-06-25,V012,Sigma Steel Works,GBP,4,ITM0091,Electronic Components - PCB,6,334.02,2004.12
INV00003,2024-06-25,V012,Sigma Steel Works,GBP,5,ITM0099,Sensor Modules - Temperature,11,429.11,4720.21
INV00003,2024-06-25,V012,Sigma Steel Works,GBP,6,ITM0013,Lubricants - Synthetic,36,232.17,8358.12
INV00003,2024-06-25,V012,Sigma Steel Works,GBP,7,ITM0047,Copper Wire - 12 AWG,48,184.08,8835.84
INV00004,2024-12-25,V009,Prime Resources LLC,EUR,1,ITM0078,Copper Wire - 12 AWG,69,367.27,25341.63
INV00004,2024-12-25,V009,Prime Resources LLC,EUR,2,ITM0021,Insulation Material - Thermal,49,142.27,6971.23
INV00004,2024-12-25,V009,Prime Resources LLC,EUR,3,ITM0082,Seals - Mechanical,29,345.46,10018.34
INV00005,2024-04-27,V002,Global Materials Corp,USD,1,ITM0041,Lubricants - Synthetic,35,42.43,1485.05
INV00005,2024-04-27,V002,Global Materials Corp,USD,2,ITM0073,Control Valves - Pneumatic,28,331.16,9272.48
INV00005,2024-04-27,V002,Global Materials Corp,USD,3,ITM0051,Insulation Material - Thermal,19,139.79,2656.01
INV00006,2024-10-14,V008,Atlas Manufacturing,USD,1,ITM0034,Pumps - Centrifugal,55,449.93,24746.15
INV00006,2024-10-14,V008,Atlas Manufacturing,USD,2,ITM0052,Filter Elements - HEPA,29,498.69,14462.01
INV00006,2024-10-14,V008,Atlas Manufacturing,USD,3,ITM0018,Cables - Industrial Grade,64,54.55,3491.2
INV00006,2024-10-14,V008,Atlas Manufacturing,USD,4,ITM0007,Hydraulic Fittings - Standard,20,317.45,6349.0
INV00006,2024-10-14,V008,Atlas Manufacturing,USD,5,ITM0088,Fasteners - Stainless Steel,77,41.13,3167.01
INV00006,2024-10-14,V008,Atlas Manufacturing,USD,6,ITM0049,Gearboxes - Planetary,60,269.27,16156.2
INV00006,2024-10-14,V008,Atlas Manufacturing,USD,7,ITM0071,Industrial Bearings - Heavy Duty,88,363.15,31957.2
INV00007,2024-05-16,V018,Theta Instruments,USD,1,ITM0015,Sensor Modules - Temperature,56,87.5,4900.0
